Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_2b946de6		Welcome to Bytes of Love! A visual novel currently being developed by the University of Florida's Open Source Club!	game/script.rpy	133	"[what]"
start_746e8b24		This is an educational dating simulator where you build relationships with other programming languages that are represented as anime-style characters.	game/script.rpy	134	"[what]"
start_24a642ed		Throughout the game, these characters will immerse you into computer science and the college experience.	game/script.rpy	135	"[what]"
start_511ff54a		The choices you make will affect your standing with other characters and influence the events you experience.	game/script.rpy	136	"[what]"
start_0323d3a5		Please enter a name	game/script.rpy	144	"[what]"
start_829b22f9		Please enter a single word name using only alphabetic characters.	game/script.rpy	146	"[what]"
start_59439bd3		Your name is [mc].	game/script.rpy	148	"[what]"
w0_d1_a9d575bc	mc	Man, I can't believe it, tomorrow is the first day of orientation at the University of Byteborough.	game/scripts/before_orientation/before_orientation.rpy	4	mc "[what]"
w0_d1_d3d7b200	mc	I can't wait for everything I'm going to experience, all the parties, friends, clubs, and ladies!	game/scripts/before_orientation/before_orientation.rpy	5	mc "[what]"
w0_d1_70066121	mc	If I can even talk to them...	game/scripts/before_orientation/before_orientation.rpy	6	mc "[what]"
w0_d1_9d6cbdf1	mc	I’m tired from the drive here, 4 hours was brutal.	game/scripts/before_orientation/before_orientation.rpy	7	mc "[what]"
w0_d1_961617cb	mc	But at least I didn’t have to fly, I definitely don’t have the money for that.	game/scripts/before_orientation/before_orientation.rpy	8	mc "[what]"
w0_d1_9e65e0a6	mc	I am super grateful my parents gave me a new car for college though.	game/scripts/before_orientation/before_orientation.rpy	9	mc "[what]"
w0_d1_d4e6489c	mc	I don’t know what I’d do without it...	game/scripts/before_orientation/before_orientation.rpy	10	mc "[what]"
w0_d1_9af41f7a	mc	They also gave me 50 Bytecoin to get through the weekend.	game/scripts/before_orientation/before_orientation.rpy	11	mc "[what]"
w0_d1_97e8ef60	mc	{i}*Stomach rumbles*{/i}	game/scripts/before_orientation/before_orientation.rpy	12	mc "[what]"
w0_d1_4ed5d00f	mc	Oh man, I’m hungry. I guess being on the road all day will do that to you.	game/scripts/before_orientation/before_orientation.rpy	13	mc "[what]"
w0_d1_BeforeFood_77d0da6e	mc	What should I get to eat?	game/scripts/before_orientation/before_orientation.rpy	16	mc "[what]" nointeract
w0_d1_End_da8cf1ef	mc	Man that hit the spot.	game/scripts/before_orientation/before_orientation.rpy	29	mc "[what]"
w0_d1_End_0af872eb	mc	What am I going to do with the rest of my night?	game/scripts/before_orientation/before_orientation.rpy	30	mc "[what]"
w0_d1_End_54f1a051	mc	I know I’ll play some Valorant. I’ve been grinding so I can go from silver to gold.	game/scripts/before_orientation/before_orientation.rpy	31	mc "[what]"
w0_d1_End_247a20d9		{i}*Time passes it's now 11:30PM*{/i}	game/scripts/before_orientation/before_orientation.rpy	34	"[what]"
w0_d1_End_e8e1f881	mc	Now I’m Silver 3! I just have to win a few more games to push to gold!	game/scripts/before_orientation/before_orientation.rpy	35	mc "[what]"
w0_d1_End_1de797f6	mc	Do I play one more ranked game so I can get gold, or do I head to bed early so I'm not late in the morning?	game/scripts/before_orientation/before_orientation.rpy	36	mc "[what]"
w0_d1_Valorant_ddddbccf	mc	I have a big day tomorrow.	game/scripts/before_orientation/before_orientation.rpy	39	mc "[what]" nointeract
w0_d1_Valorant_67d8d5f1	mc	{i}*4 hours later*{/i}	game/scripts/before_orientation/before_orientation.rpy	43	mc "[what]"
w0_d1_Valorant_b35ae5bb	mc	Wow, that was miserable. I went back and forth for 4 hours, and sacrificed my pride and rank.	game/scripts/before_orientation/before_orientation.rpy	44	mc "[what]"
w0_d1_Valorant_4dd4709e	mc	Now it’s 3:30 AM, I deranked to Silver I, and I am so tired.	game/scripts/before_orientation/before_orientation.rpy	45	mc "[what]"
w0_d1_Valorant_567c7ef2	mc	I am literally never going to play this game ever again…	game/scripts/before_orientation/before_orientation.rpy	46	mc "[what]"
w0_d1_Valorant_79e8a9d6		{i}*You walk over to your bed and fall asleep immediately*{/i}	game/scripts/before_orientation/before_orientation.rpy	47	"[what]"
w0_d1_Valorant_e31ccc85	mc	{i}*Shift, turn, shift, roll*{/i}	game/scripts/before_orientation/before_orientation.rpy	50	mc "[what]"
w0_d1_Valorant_5c1bc1ef	mc	Jeez, I can't seem to get comfy enough to fall asleep.	game/scripts/before_orientation/before_orientation.rpy	51	mc "[what]"
w0_d1_Valorant_d3c2d59b	mc	Maybe I'll watch some YouTube until I feel tired…	game/scripts/before_orientation/before_orientation.rpy	52	mc "[what]"
w0_d1_DoorDash_a8eff87f	mc	I passed like 15 Chipotles on the way here, I bet I can order a burrito for dinner...	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	2	mc "[what]"
w0_d1_DoorDash_947c7bdc		{i}*15 minutes later*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	5	"[what]"
w0_d1_DoorDash_6a65ff86	mc	This driver sucks! I ordered this 30 minutes ago, and he still hasn’t picked it up!!!	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	6	mc "[what]"
w0_d1_DoorDash_1ae63874		{i}*20 minutes later*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	8	"[what]"
w0_d1_DoorDash_36a3d1de	mc	Uuuugggghhhhh. I’m so hungry. Can this loser hurry up? It isn’t that hard to deliver food.	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	9	mc "[what]"
w0_d1_DoorDash_09e086bf		{i}*20 more minutes later, there is a knock at the door*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	11	"[what]"
w0_d1_DoorDash_2bfd10a7	u	"Are you [mc]? I’ve got your food."	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	12	u "[what]"
w0_d1_DoorDash_46f5f521	mc	{i}*Annoyed*{/i} "What took you so long?"	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	13	mc "[what]"
w0_d1_DoorDash_2b6396b1	u	{i}*Sigh*{/i} "Orientation is tomorrow, so everyone is ordering food right now."	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	15	u "[what]"
w0_d1_DoorDashTip_156a24a6	mc	"Whatever, at least you finally got here."	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	18	mc "[what]" nointeract
w0_d1_DoorDashTip_3f6cc8b1	u	"Your total is 30 Bytecoin."	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	23	u "[what]"
w0_d1_DoorDashTip_3d2f5018	mc	{i}*Hands over 35 Bytecoin*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	24	mc "[what]"
w0_d1_DoorDashTip_03a68716	mc	"Keep the change, I guess, have a good one."	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	25	mc "[what]"
w0_d1_DoorDashTip_468c2bc6	u	"Thank you."	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	26	u "[what]"
w0_d1_DoorDashTip_168b749f	mc	"No problem."	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	27	mc "[what]"
w0_d1_DoorDashTip_a8688b0f	mc	{i}*Closes the door*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	28	mc "[what]"
w0_d1_DoorDashTip_3f6cc8b1_1	u	"Your total is 30 Bytecoin."	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	33	u "[what]"
w0_d1_DoorDashTip_c580f63f	mc	{i}*Hands over 30 Bytecoin with no tip*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	34	mc "[what]"
